,win,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,hero_damage,tower_damage,hero_healing,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,matches,radiant,name,account_id
0,0.65,10.5,3.0,9.9,308.7,15.1,813.85,967.05,21.65,22991.6,27182.15,10331.8,259.5,21196.0,15633.55,4664.85,109.3,20,0.55,1,171262902
1,0.75,10.0,5.05,12.1,263.1,12.3,680.85,821.2,20.8,20533.3,32156.95,4479.5,112.4,20012.75,17902.45,2101.55,60.45,20,0.4,ammar is my goat,93618577
2,0.55,12.25,4.8,10.05,380.75,8.65,715.25,898.85,23.6,26583.4,34639.8,8953.7,1444.05,26882.0,17253.95,3964.75,375.8,20,0.19999999999999996,yao,321580662
3,0.5,2.3,5.95,16.4,78.0,2.95,335.9,434.25,15.8,9961.6,14957.85,2631.1,6270.65,10261.25,8470.0,1202.9,1904.6,20,0.6,Dukalis,73401082
4,0.6,8.6,4.3,10.35,316.85,13.75,634.5,740.75,20.85,20524.2,27974.3,6634.7,0.0,20125.25,16749.1,2982.4,0.0,20,0.55,Буська,898455820
5,0.6,9.4,4.6,11.25,308.3,14.7,630.8,761.45,21.35,21940.0,29626.85,4814.4,0.0,22800.5,16155.35,2403.65,0.0,20,0.5,Suma1L-,183719386
6,0.5,5.55,4.4,16.1,262.55,11.9,552.7,640.45,19.85,18565.45,22320.9,2432.8,2089.2,17869.5,11922.95,1074.1,752.6,20,0.44999999999999996,Offlane Bobi,56351509
7,0.45,9.2,4.55,11.15,343.95,12.0,645.5,770.3,21.65,21759.6,33082.35,3288.6,832.2,21593.0,18625.2,1485.4,340.25,20,0.55,yuuuuuuuuuuuuuuuuuuuuuuuuuuuu,480412663
8,0.65,9.5,2.95,8.85,424.05,12.4,748.0,873.4,22.3,25541.75,30660.8,9943.65,47.4,25379.5,14865.85,4490.3,21.95,20,0.5,4,1044002267
9,0.6,6.2,3.55,12.05,241.05,11.3,555.05,653.25,19.35,18168.75,17798.3,2062.5,908.05,16901.0,10543.65,909.85,358.85,20,0.75,cao,302214028
